formula,target
Ni0.6 Zr0.15 Nb0.25 ,31.0
Al0.07 Cu0.46 Zr0.47 ,76.0
Ni0.6 Zr0.1 Nb0.3 ,27.0
Ti0.075 Cu0.5 Zr0.425 ,40.0
Si0.01 Ti0.07425 Cu0.495 Zr0.42075 ,47.5
Ni0.6 Zr0.05 Nb0.35 ,24.0
Si0.006000000000000001 Ti0.0741 Cu0.4940000000000001 Zr0.4199 Sn0.006000000000000001 ,52.0
Al0.07 Cu0.45 Zr0.48 ,59.0
Ni0.6 Nb0.4 ,16.5
Ti0.14 Ni0.2 Cu0.17 Zr0.49 ,49.0
